doc_id,title,topic,speaker_type,text,Policy Sentiment_Explicit evaluation,Policy Sentiment_Direction,Policy Sentiment_Intensity,Policy Sentiment_Evidence
ps_001,"Carbon Border Reform Receives Broad Support",climate,legislator,"The carbon border reform is a sensible compromise that protects domestic industry while finally aligning trade rules with climate goals.",1,positive,5,"sensible compromise"
ps_002,"Housing Plan Faces Cost Criticism",housing,policy analyst,"The housing plan has an admirable goal, but its financing assumptions are unrealistic and the burden on municipalities is far too high.",1,negative,2,"financing assumptions are unrealistic"
ps_003,"Committee Schedule Released",legislative process,journalist,"The committee will hear witnesses on Tuesday, debate amendments on Wednesday, and hold a final vote on Thursday.",0,no clear sentiment,3,"hear witnesses on Tuesday, debate amendments on Wednesday"
ps_004,"Minimum Wage Proposal Wins Qualified Praise",labour,union representative,"The proposal is a step in the right direction for low-paid workers, although the exemptions remain too broad to celebrate it fully.",1,mixed,3,"a step in the right direction"
ps_005,"Mayor Welcomes Rail Subsidy",transport,mayor,"This rail subsidy is exactly the kind of long-term investment our region needs, and it will make commuting more affordable for thousands of residents.",1,positive,5,"exactly the kind of long-term investment our region needs"
ps_006,"Opposition MP Attacks Surveillance Bill",civil liberties,opposition MP,"The surveillance bill is intrusive, poorly drafted, and a dangerous expansion of executive power.",1,negative,1,"dangerous expansion of executive power"
ps_007,"Analyst Notes Pension Reform Tradeoffs",welfare,policy analyst,"The pension reform may improve long-run fiscal sustainability, but it also asks future retirees to accept lower benefits.",1,mixed,3,"may improve long-run fiscal sustainability, but it also asks future retirees to accept lower benefits"
ps_008,"Union Backs Sick Leave Expansion",public health,union representative,"Expanding sick leave is a welcome and overdue reform that gives workers basic security when they fall ill.",1,positive,5,"welcome and overdue reform"
ps_009,"Manufacturers Criticise Plastic Ban",environment,business association,"The plastic ban moves too quickly, raises compliance costs, and gives firms too little time to adapt.",1,negative,2,"raises compliance costs"
ps_010,"Turnout Briefing Note Released",elections,research institute,"The briefing note reports turnout rates by district and summarizes which age groups participated at the highest levels.",0,no clear sentiment,3,"reports turnout rates by district"
ps_011,"Editorial Supports Flood Resilience Fund",climate adaptation,editorial board,"The new flood resilience fund is a constructive response to repeated climate shocks, even if implementation will need close oversight.",1,positive,4,"constructive response to repeated climate shocks"
ps_012,"Voucher Pilot Draws Mixed Community Response",education,civil society group,"Some parents welcome the voucher pilot as a source of choice, but others worry it will deepen inequality between schools.",1,mixed,3,"welcome the voucher pilot as a source of choice, but others worry it will deepen inequality"
ps_013,"Treasury Defends Energy Rebate",cost of living,government minister,"The energy rebate is a fair and timely measure that will shield vulnerable households from another difficult winter.",1,positive,5,"fair and timely measure"
ps_014,"Think Tank Warns About Farm Subsidy Design",agriculture,think tank,"The subsidy may keep some farms afloat, but its design rewards inefficiency and ignores long-term environmental costs.",1,mixed,3,"rewards inefficiency and ignores long-term environmental costs"
ps_015,"Election Commission Publishes Guidance",elections,election commission,"The commission published updated guidance on postal voting procedures and reporting deadlines for local administrators.",0,no clear sentiment,3,"published updated guidance on postal voting procedures"
ps_016,"Mayor Questions Congestion Charge Delay",transport,mayor,"Delaying the congestion charge is a mistake that weakens the city's climate commitments and prolongs traffic problems.",1,negative,1,"is a mistake"
ps_017,"NGO Gives Cautious Support to Water Plan",environment,civil society group,"The water plan is a meaningful improvement, although its enforcement provisions remain weaker than campaigners had hoped.",1,mixed,3,"meaningful improvement"
ps_018,"Party Spokesperson Praises Apprenticeship Scheme",education,party spokesperson,"The apprenticeship scheme is exactly the kind of practical reform that links education policy to good jobs.",1,positive,5,"exactly the kind of practical reform"
ps_019,"Analyst Describes Budget Rollout",fiscal policy,policy analyst,"The finance ministry will publish the budget tables on Monday and present departmental spending plans later in the week.",0,no clear sentiment,3,"will publish the budget tables on Monday"
ps_020,"Business Group Splits on Remote Work Tax Break",labour,business association,"Some employers see the tax break as a sensible incentive, while others argue it is poorly targeted and unlikely to change behaviour.",1,mixed,3,"sensible incentive, while others argue it is poorly targeted"
